127.0.0.1 - - [20/Dec/2019:10:28:48 +0900] "GET / HTTP/1.1" 404 1115
127.0.0.1 - - [20/Dec/2019:10:55:21 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20283
127.0.0.1 - - [20/Dec/2019:10:55:21 +0900] "GET /Semi_Team1/js/bootstrap_340_yhj.css HTTP/1.1" 304 -
127.0.0.1 - - [20/Dec/2019:10:55:21 +0900] "GET /Semi_Team1/images/main/rolling2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [20/Dec/2019:10:55:21 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:10:55:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
127.0.0.1 - - [20/Dec/2019:11:23:06 +0900] "GET /Semi_Team1/register/mainJoinPage.dog HTTP/1.1" 200 17972
127.0.0.1 - - [20/Dec/2019:11:23:06 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:23:42 +0900] "GET /Semi_Team1/register/normalJoinPage.dog HTTP/1.1" 200 50109
127.0.0.1 - - [20/Dec/2019:11:23:42 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:23:51 +0900] "POST /Semi_Team1/register/idDuplicateCheck.dog HTTP/1.1" 200 65
127.0.0.1 - - [20/Dec/2019:11:24:04 +0900] "POST /Semi_Team1/register/emailDuplicateCheck.dog HTTP/1.1" 200 65
127.0.0.1 - - [20/Dec/2019:11:24:42 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:24:42 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:24:45 +0900] "GET /Semi_Team1/register/mainJoinPage.dog HTTP/1.1" 200 17972
127.0.0.1 - - [20/Dec/2019:11:24:45 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:03 +0900] "GET /Semi_Team1/register/naverJoinPage.dog HTTP/1.1" 200 1562
127.0.0.1 - - [20/Dec/2019:11:25:16 +0900] "GET /Semi_Team1/register/naverJoinPageEnd.dog HTTP/1.1" 200 1337
127.0.0.1 - - [20/Dec/2019:11:25:16 +0900] "POST /Semi_Team1/register/snsJoinPage.dog HTTP/1.1" 200 996
127.0.0.1 - - [20/Dec/2019:11:25:22 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:25:22 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:27 +0900] "GET /Semi_Team1/login/naverLogin.dog HTTP/1.1" 200 1531
127.0.0.1 - - [20/Dec/2019:11:25:27 +0900] "GET /Semi_Team1/login/naverLoginEnd.dog HTTP/1.1" 200 1319
127.0.0.1 - - [20/Dec/2019:11:25:27 +0900] "POST /Semi_Team1/login/login.dog HTTP/1.1" 200 940
127.0.0.1 - - [20/Dec/2019:11:25:33 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20296
127.0.0.1 - - [20/Dec/2019:11:25:33 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:35 +0900] "GET /Semi_Team1/login/logout.dog HTTP/1.1" 302 -
127.0.0.1 - - [20/Dec/2019:11:25:35 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20283
127.0.0.1 - - [20/Dec/2019:11:25:35 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:37 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:25:37 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:42 +0900] "GET /Semi_Team1/register/mainJoinPage.dog HTTP/1.1" 200 17972
127.0.0.1 - - [20/Dec/2019:11:25:42 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:44 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:25:44 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:25:52 +0900] "POST /Semi_Team1/login/login.dog HTTP/1.1" 200 940
127.0.0.1 - - [20/Dec/2019:11:25:52 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20296
127.0.0.1 - - [20/Dec/2019:11:25:52 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:26:12 +0900] "GET /Semi_Team1/login/logout.dog HTTP/1.1" 302 -
127.0.0.1 - - [20/Dec/2019:11:26:12 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20283
127.0.0.1 - - [20/Dec/2019:11:26:12 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:26:13 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:26:13 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:26:19 +0900] "GET /Semi_Team1/login/findIDPW.dog HTTP/1.1" 200 26577
127.0.0.1 - - [20/Dec/2019:11:26:19 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:26:32 +0900] "POST /Semi_Team1/login/findID.dog HTTP/1.1" 200 28
127.0.0.1 - - [20/Dec/2019:11:26:48 +0900] "POST /Semi_Team1/login/findID.dog HTTP/1.1" 200 31
127.0.0.1 - - [20/Dec/2019:11:27:17 +0900] "POST /Semi_Team1/login/findPW.dog HTTP/1.1" 200 26
127.0.0.1 - - [20/Dec/2019:11:27:27 +0900] "GET /Semi_Team1/login/login.dog HTTP/1.1" 200 20340
127.0.0.1 - - [20/Dec/2019:11:27:27 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:27:44 +0900] "POST /Semi_Team1/login/login.dog HTTP/1.1" 200 940
127.0.0.1 - - [20/Dec/2019:11:27:45 +0900] "GET /Semi_Team1/main.dog HTTP/1.1" 200 20296
127.0.0.1 - - [20/Dec/2019:11:27:45 +0900] "GET /Semi_Team1/main/basketBadge.dog HTTP/1.1" 200 19
127.0.0.1 - - [20/Dec/2019:11:28:30 +0900] "GET /Semi_Team1/main/searchMain.dog?searchWord= HTTP/1.1" 200 22781
127.0.0.1 - - [20/Dec/2019:11:28:30 +0900] "GET /Semi_Team1/images/%EC%9D%B4%EC%A6%88%EC%B9%B8%20%EC%86%8C%ED%94%84%ED%8A%B8.jpg HTTP/1.1" 304 -
127.0.0.1 - - [20/Dec/2019:11:28:30 +0900] "GET /Semi_Team1/images/%EC%9D%B4%EC%A6%88%EC%B9%B8%20%EC%86%8C%ED%94%84%ED%8A%B8%EC%82%B4%EB%AA%AC.jpg HTTP/1.1" 304 -
